iteration,scenario,scenario_type,gmv,net_value,risk_adjusted_gmv,commission_revenue,subsidy,refunds,disputes,chargeback_loss,total_leakage,contribution_margin_proxy,top_risk_seller_downside_exposure
3,fraud_control_improvement,risk_upside,11961615.826176729,11051402.164902275,10794349.413215447,1318155.0987228372,416684.1179423971,1097747.2954361683,662925.3752331852,372632.5986674537,2549989.387279204,-1231834.288556367,977999.1374213643
3,downside_high_risk_deterioration,downside,12165164.64536498,11321276.815073144,10762675.438598655,1340585.9239349994,449818.79031967494,1509836.3992338176,1260164.9707441514,798166.8225954602,4017986.982893104,-2677401.058958105,1854801.576853129
4,baseline,reference,11303689.177221384,10596375.773728065,10243757.986191165,1245652.4051479243,404552.99963075115,1235266.1545277827,970249.1455082321,587132.2213432727,3197200.521010039,-1951548.1158621146,1268701.7906614363
4,seller_quality_improvement,quality_upside,11023350.565899273,10025803.904079126,9741568.241137898,1214759.4409152458,374793.47086614923,1059132.5809504436,791301.2203207902,522595.70969767816,2747822.981835061,-1533063.5409198154,1038007.4346482613
4,subsidy_tightening,policy_upside,11168603.406477531,10384955.613637086,10088701.289396178,1230766.1222193888,297981.1473360407,1165796.6639710404,1013882.5593092028,603804.652399889,3081465.0230161725,-1850698.9007967836,1079482.5556646006
4,fraud_control_improvement,risk_upside,12071902.566132626,11414774.902924303,11162710.048149452,1330308.5594849063,420083.3359061177,1181170.0595791377,855000.1825262448,364998.1579671089,2821251.735978609,-1490943.1764937027,948531.3861496925
4,downside_high_risk_deterioration,downside,11882696.25224149,10896920.914553035,10401724.869551243,1309458.2604124045,446941.41079314426,1596159.3557554365,1428971.2438554796,821476.9639478249,4293548.974351886,-2984090.7139394814,1646831.471182954
5,baseline,reference,11175660.929125186,10143092.413989611,9813752.83459362,1231543.8523854087,375187.72194380756,1169713.6548932644,991117.3960297654,530150.8965282649,3066169.669395102,-1834625.8170096935,1212243.9282690834
5,seller_quality_improvement,quality_upside,11182702.801960967,10525481.114647739,10236050.99036707,1232319.8579617399,387100.87597447983,1097189.7369978142,812652.9657555204,523059.9797662687,2820003.558494083,-1587683.7005323432,1025257.0756653639
5,subsidy_tightening,policy_upside,11007754.06243463,10131353.981827538,9835386.27091961,1213040.7257464158,279555.0141865332,1123987.0205197944,1050498.2963478859,667717.653702652,3121757.9847568655,-1908717.2590104498,1127520.1330486462
5,fraud_control_improvement,risk_upside,10852702.673519408,9914670.828795148,9713119.280214068,1195954.256674621,387091.1237543476,1126061.1346203776,639332.3971710384,329633.7146437994,2482118.370189563,-1286164.113514942,785515.9086483624
5,downside_high_risk_deterioration,downside,11488777.265010273,10452814.005774321,9937041.98727931,1266048.8808563207,416583.72557376005,1492223.6866320216,1094265.6482181628,690511.2270633852,3693584.2874873294,-2427535.4066310087,1662150.489752252
6,baseline,reference,11907228.493051501,11488022.348114796,11137743.915268544,1312161.6826570854,393613.8948577072,1322044.5097661656,1080123.6613436611,764620.8514748284,3560402.9174423623,-2248241.234785277,1393250.6354373982
6,seller_quality_improvement,quality_upside,11375271.286966683,10616863.813780898,10325675.9431407,1253540.6640846154,376237.97185767244,1016279.1603198175,748917.3336019911,548061.9211096194,2689496.3868891005,-1435955.7228044851,1033526.8139620194
6,subsidy_tightening,policy_upside,10597933.117799504,9985577.147685384,9678126.744321384,1167878.9703795516,281501.9485667111,1103040.8285165771,901935.2860538039,574629.4301248853,2861107.4932619776,-1693228.522882426,1081838.8536681794
6,fraud_control_improvement,risk_upside,11278551.03282651,10380654.51457445,10154589.271668615,1242882.2130862449,437478.6442704485,1203228.0710207187,724432.1416121457,341953.21394899546,2707092.070852308,-1464209.8577660632,889898.2983335183
6,downside_high_risk_deterioration,downside,11772379.682924516,10874344.205969667,10412017.540894717,1297301.5124920646,407497.7829723048,1648107.176765041,1339407.7669138145,741576.6758769365,4136589.4025280965,-2839287.8900360316,1903583.8440727545
7,baseline,reference,11382471.883732071,10506846.68185593,10171161.286232777,1254334.1608394077,394644.22301496216,1247768.002295114,1064183.5708828627,488206.411486384,3194802.207679323,-1940468.0468399152,1306984.854985863
7,seller_quality_improvement,quality_upside,11411314.709475035,10522465.829453714,10213978.388060745,1257512.604150675,350877.35840504506,1035378.8110659379,920610.3174770809,485791.0156090022,2792657.502557066,-1535144.8984063908,990350.3788957755
7,subsidy_tightening,policy_upside,10946207.291195124,10079544.762114124,9747278.694608057,1206258.34855773,272111.986618977,1189180.600876228,924784.2658591934,657624.7532839,3043701.6066382984,-1837443.2580805684,1171507.4220867883
7,fraud_control_improvement,risk_upside,11963058.479974575,11099369.06647326,10824986.436219268,1318314.0773664382,437456.7234202225,1154642.0817851392,757731.3284153579,367673.28010844206,2717503.4137291615,-1399189.3363627233,825260.8875818311
7,downside_high_risk_deterioration,downside,12163980.092381654,11123824.063869378,10683028.119047854,1340455.3876782455,488305.3073633422,1668998.750024551,1497131.032959048,881221.4695043336,4535656.559851274,-3195201.1721730283,1909223.7716478738
8,baseline,reference,11097109.714614917,10491926.174675358,10176705.970638936,1222887.606822749,402080.69797146594,1182916.0851564023,895068.8296719808,615089.664238725,3095155.277038574,-1872267.6702158253,1239446.7026801493
8,seller_quality_improvement,quality_upside,11207221.395677244,10572339.430723641,10270345.010512596,1235021.7763137652,389284.06324431696,879953.168214078,842776.9752127887,559570.5557457296,2671584.762416913,-1436562.986103148,1113484.860198477
8,subsidy_tightening,policy_upside,10098789.883632645,9364670.045185756,9061692.675736368,1112874.0104584848,262858.9949878639,927637.2607523776,910816.0919059978,552430.130949243,2653742.478595482,-1540868.4681369974,1024153.116048636
8,fraud_control_improvement,risk_upside,11432092.938242182,10706232.82250322,10458613.858252767,1259802.3389649221,406096.22952789336,1149869.8634519705,741271.1562106867,349664.70522507414,2646901.9544156245,-1387099.6154507024,848750.8156826731
8,downside_high_risk_deterioration,downside,11801100.941969717,10985241.524779795,10528314.363824707,1300466.5593053321,423843.34574438253,1565322.506464511,1447343.5924917443,773268.0798788735,4209777.524579511,-2909310.965274179,1916021.5031561127
9,baseline,reference,11623404.116095392,10960139.434134385,10609296.318766855,1280884.5914126236,425624.32080780086,1354939.9618403912,1045466.1194739694,760193.6031953973,3586224.0053175585,-2305339.413904935,1186908.6192913968
9,seller_quality_improvement,quality_upside,11995956.859197322,11047255.51960691,10768925.189635381,1321939.437597226,406553.74896253535,1149798.9911295143,765553.9887405123,523144.3654469608,2845051.094279523,-1523111.6566822971,1010111.3767799453
9,subsidy_tightening,policy_upside,11242900.688898442,10601585.21853117,10284409.614737034,1238953.589787947,288167.21787658543,1061915.6850221124,783438.0342398552,610136.427889319,2743657.3650278724,-1504703.7752399254,1233644.4215221992
9,fraud_control_improvement,risk_upside,11745468.936364202,10848648.726439107,10598223.209551169,1294335.9818894775,428100.8019851989,1164807.8364188857,764533.9806495481,359147.2850688687,2716589.9041225016,-1422253.9222330241,878232.1680921111
9,downside_high_risk_deterioration,downside,12322133.681154402,11234027.631915253,10801281.235068852,1357883.7152931397,479465.4075317559,1587144.4336250373,1330018.2469294048,896593.6349712672,4293221.723057466,-2935338.007764326,1785323.7231571334
10,baseline,reference,10433567.276838332,9547775.331964131,9213683.572274968,1149766.0603457168,380088.4046492169,1104380.4509050357,888875.1824104983,606921.266383534,2980265.304348285,-1830499.244002568,1170360.6567536741
10,seller_quality_improvement,quality_upside,11499449.440244116,10677958.205610782,10386730.9473488,1267224.9412150031,371405.47641093895,993652.5471131757,747063.7947397826,521997.5464048201,2634119.364668717,-1366894.423453714,1074622.8597842148
10,subsidy_tightening,policy_upside,11267234.175858047,10323086.682405708,10040162.320604086,1241635.1096069764,290450.9555528628,1059251.5659344648,940251.8653031096,585332.867853877,2875287.2546443143,-1633652.145037338,1234127.0440827007
10,fraud_control_improvement,risk_upside,10905213.274183644,9971207.855717523,9733940.945106713,1201740.859171174,362439.90274620056,1014615.7976884301,697852.2916508553,344523.97244663694,2419431.964532123,-1217691.105360949,815105.5892879486
10,downside_high_risk_deterioration,downside,12071708.69123865,11014178.346288906,10521187.661427112,1330287.1947141492,423987.16531750956,1682562.8050454305,1284299.0100958957,897847.2027263758,4288696.183185211,-2958408.988471062,1883095.4360114639
11,baseline,reference,12209217.644099776,11639174.059063336,11254412.471237516,1345440.5092803359,430196.98646952305,1382867.387686359,1149300.4343012027,634520.3030317539,3596885.1114888387,-2251444.6022085026,1430443.0017236918
11,seller_quality_improvement,quality_upside,11468099.73291284,10501220.139664391,10213674.743203077,1263770.2426890936,355854.3122627187,887306.9670180617,755534.552863286,532343.8668375531,2531039.6989816194,-1267269.4562925259,1125414.237249081
11,subsidy_tightening,policy_upside,11380564.085359156,10494014.80810445,10158908.152948879,1254123.923845582,292723.33131755405,1120442.3886392599,906666.9117500945,610246.1998319107,2930078.831538819,-1675954.9076932368,1164181.9029901598
11,fraud_control_improvement,risk_upside,11783216.570481485,10674953.829933727,10424485.47008966,1298495.7239426817,413882.47003289784,1306826.761131521,736705.6073749299,417449.83488671196,2874864.673426061,-1576368.9494833793,883849.2409022973
11,downside_high_risk_deterioration,downside,11917479.40769561,10901720.75243672,10393675.591039097,1313291.3206258232,434328.96408671205,1605570.3692390728,1223811.1616652617,859371.4208890952,4123081.915880142,-2809790.595254319,1919965.2994006358
12,baseline,reference,11580420.5471564,10656616.44687266,10342219.566684833,1276147.8558928082,425651.52520775696,1116271.5988267153,955568.4586269525,523870.8228909419,3021362.4055523667,-1745214.5496595586,1419063.713302776
12,seller_quality_improvement,quality_upside,11555671.504099756,10599714.05309869,10296565.541057492,1273420.5423117925,360267.3648752713,840914.2165814606,795856.684922873,665814.5427624944,2662852.809142099,-1389432.2668303067,983512.8746808706
12,subsidy_tightening,policy_upside,11062939.677414976,10108154.756350752,9790496.142334275,1219122.1114738612,275533.1250931269,1112867.3155145803,885695.785221539,615864.2511665532,2889960.4769957997,-1670838.3655219385,1190576.9389840043
12,fraud_control_improvement,risk_upside,11077001.298854928,10347550.969459126,10108862.553748975,1220671.6845638799,420632.60026117327,1032140.3195318395,659439.2705172673,401817.01510942716,2514029.205419707,-1293357.5208558273,897624.9325450766
12,downside_high_risk_deterioration,downside,11667709.632768717,10934139.17612655,10482749.72890709,1285767.0039188578,445380.0349539236,1594137.5251583091,1448218.1852994317,794667.8208849396,4282403.5662966035,-2996636.5623777458,1833524.7079232077
13,baseline,reference,11009317.839673918,10275522.889362572,9976193.857204782,1213213.0520417246,376163.1195805893,1292505.5768743784,785423.3811141895,563020.0860119711,3017112.163581128,-1803899.1115394037,1202112.7094873202
13,seller_quality_improvement,quality_upside,11463208.759440832,10601040.74246838,10293032.723883409,1263231.2635316341,381518.6778083769,1013207.8458320681,839216.1828787954,512863.84848134493,2746806.5550005855,-1483575.2914689514,1058276.2217663045
13,subsidy_tightening,policy_upside,11159540.588714033,10528045.880337264,10218550.212267704,1229767.411040452,286314.7741042417,1292909.399485758,922422.9011449768,588460.3000692629,3090107.3748042393,-1860339.9637637872,1118384.1924369475
13,fraud_control_improvement,risk_upside,11009456.001783563,10012501.12269907,9766239.725353383,1213228.277333351,385215.6120813863,1081717.7091840154,682799.4555914659,329756.0911692414,2479488.868026109,-1266260.5906927579,836625.2868792817
13,downside_high_risk_deterioration,downside,11898998.857726874,10805833.212592376,10325610.11736352,1311254.7871405075,463615.90557543904,1568891.604856476,1159177.5139854704,804351.0542815465,3996036.078698932,-2684781.291558425,1761605.6009085092
14,baseline,reference,11004557.985940106,10377709.097174399,10064705.329943718,1212688.5221153689,410520.8184818068,1202749.6354462118,977190.8814306164,489814.60689107253,3080275.942249707,-1867587.420134338,1254876.1655726233
14,seller_quality_improvement,quality_upside,10969613.588665742,10280917.615928905,9966663.347972982,1208837.693255091,406703.04070040723,922048.9269059808,755407.9345446423,551219.2077558213,2635379.109906852,-1426541.4166517607,914678.7498428123
14,subsidy_tightening,policy_upside,11071062.030554965,10641082.722958779,10297477.302289458,1220017.184627914,256780.33458685878,1075074.3362079365,910230.231246383,584363.519781452,2826448.4218226303,-1606431.2371947162,1222498.5790999106
14,fraud_control_improvement,risk_upside,10785104.391966455,10017853.945017641,9776496.977735892,1188505.010620511,367768.18904305546,1142146.909940943,650822.3955462587,333557.1657428923,2494294.660273149,-1305789.6496526382,838203.3567018511
14,downside_high_risk_deterioration,downside,12069603.17320614,10789300.15021309,10304592.078675913,1330055.1692612057,470025.23184414697,1452890.808412992,1309175.2928448108,715537.3679525536,3947628.701054503,-2617573.5317932973,1769295.7852307584
15,baseline,reference,11494322.596619723,10665106.762209583,10313875.934832387,1266659.9694618508,391216.94503007823,1364354.1639042723,949128.5624431898,625208.7385235982,3329908.409901139,-2063248.440439288,1263959.5437339395
15,seller_quality_improvement,quality_upside,11241206.61805555,10340350.317822661,10024282.483191008,1238766.905300533,371131.5070544801,1079402.8372567946,748299.199076247,439121.75648236787,2637955.2998698894,-1399188.3945693565,1144634.461927448
15,subsidy_tightening,policy_upside,10616274.591335118,9644037.05066072,9336778.529609684,1169900.1778159377,264231.8881625254,1037344.1012158631,838850.3168970161,503402.28342522634,2643828.589700631,-1473928.4118846932,1126487.3739805932
15,fraud_control_improvement,risk_upside,10641337.095275566,9911354.205848314,9671534.474621302,1172662.034394174,412005.69786447287,1060565.619162199,657587.7379056168,343770.0520290941,2473929.106961383,-1301267.072567209,710648.1154536329
15,downside_high_risk_deterioration,downside,11704644.392683206,10671593.425275723,10188224.966492467,1289837.1682519107,484881.6349221592,1516110.2907638187,1422644.236222811,728177.5366289846,4151813.6985377735,-2861976.5302858627,1874235.809035588
16,baseline,reference,11384787.722577356,10716755.368324742,10376561.947038298,1254589.3633827842,393289.08744940866,1133122.6621026706,982869.7366981924,581388.30693891,3090669.7931891815,-1836080.4298063973,1312668.1648699618
16,seller_quality_improvement,quality_upside,10583873.433538267,9576379.778071653,9305100.977989957,1166329.610764204,365371.94514014915,895118.0683278855,613265.8393588027,535594.4217202886,2409350.2745471257,-1243020.6637829216,880048.8013356196
16,subsidy_tightening,policy_upside,10387674.284495054,9840570.729499456,9540621.11936052,1144708.7100067637,267206.4407795805,1230940.0732012277,892993.1940046127,581376.671809001,2972516.3797944216,-1827807.669787658,1168985.5927061143
16,fraud_control_improvement,risk_upside,11421514.805901151,10725264.614522243,10452489.81880946,1258636.6420153694,390596.82836003334,1106262.2669187877,704355.261526546,400079.37211951375,2601293.7289248807,-1342657.0869095114,834488.2704397341
16,downside_high_risk_deterioration,downside,11571516.512485728,10662368.192408083,10217755.855999913,1275166.6424120453,433430.90562908247,1618241.1064227482,1072184.9237008218,745234.2715873814,3869091.2073400337,-2593924.5649279887,1581597.7398906797
17,baseline,reference,10997775.582490565,10136856.349306652,9787641.751024751,1211941.1097407762,407661.45196411136,1175369.1338671918,863663.769160431,590018.5887539719,3036712.9437457058,-1824771.8340049295,1174680.939967367
17,seller_quality_improvement,quality_upside,10834339.806267338,10130650.829776913,9865821.394026443,1193930.6916774476,361170.1019687347,1015565.1052719343,789965.4520910118,563046.4629279104,2729747.1222595912,-1535816.4305821436,971940.7275989858
17,subsidy_tightening,policy_upside,10731109.361288026,9856930.377431137,9555193.82241962,1182554.8257935822,250093.07243400405,1123155.6391360075,847573.5778601974,518631.7432202401,2739454.0326504493,-1556899.206856867,1191774.0574069032
17,fraud_control_improvement,risk_upside,10429160.757495495,9397107.281021027,9192826.38616238,1149280.4674271855,349307.2295428066,1082525.779286234,651178.051241025,349916.37276555604,2432927.4328356213,-1283646.9654084358,701345.2943549446
17,downside_high_risk_deterioration,downside,11861264.84509295,10887611.888922444,10389013.78133316,1307096.5461577275,462152.68269291165,1545533.997289694,1325004.5044875504,825177.7183452158,4157868.9028153718,-2850772.3566576443,1967066.368243197
18,baseline,reference,10440529.458395736,9797387.058299484,9462121.684199017,1150533.2840428734,388376.0138940199,1082356.088040098,782532.3795869722,577408.6113807788,2830673.0929018687,-1680139.8088589953,1336030.2591405294
18,seller_quality_improvement,quality_upside,11198167.091290962,10325951.504363174,10002763.297010345,1234024.0032983462,360622.86440738617,997117.493650404,789080.7086649014,499271.45515259146,2646092.5218752827,-1412068.5185769366,1097585.4507188324
18,subsidy_tightening,policy_upside,11055888.350240298,10201030.26095742,9874974.228417277,1218345.0640412122,291462.2309502996,1159274.8113015713,927110.807006471,642980.7215136153,3020828.5707719573,-1802483.506730745,1206484.9948803873
18,fraud_control_improvement,risk_upside,11295113.005145758,10464311.020990422,10195485.405891541,1244707.3217149426,361242.14845292945,1113860.4452320526,683380.7195390987,329531.2587277212,2488014.571951802,-1243307.2502368593,924088.3841307745
18,downside_high_risk_deterioration,downside,12059613.724186292,11102351.176100971,10605017.110321699,1328954.3444771387,488217.44719420903,1595118.1841760005,1344147.78075816,758253.0037693648,4185736.415897734,-2856782.071420595,1920155.9932727374
19,baseline,reference,11232612.750557289,10372216.720895063,10035163.70298721,1237819.8718541157,429867.1313300772,1286095.5001719962,953204.9447468078,618551.9393558906,3287719.5156047717,-2049899.643750656,1261172.5505460827
19,seller_quality_improvement,quality_upside,10721307.31069962,9919140.560731275,9672308.49563439,1181474.6520822037,347923.1097125486,885370.1003752822,801917.5232087622,538329.0212826489,2573539.7545792423,-1392065.1024970387,945328.5856097526
19,subsidy_tightening,policy_upside,11064570.397796119,10516507.834414024,10186017.110318847,1219301.814819649,294080.2712645889,1153642.9450924068,872225.1445310547,550375.074631192,2870323.4355192427,-1651021.6206995936,1218020.497655786
19,fraud_control_improvement,risk_upside,11567518.056708014,10838098.540061641,10588257.556779202,1274726.0175878576,403491.96125232644,1062195.948488714,720013.5746196638,386841.1155226346,2572542.599883339,-1297816.5822954813,837073.2391291105
19,downside_high_risk_deterioration,downside,11731972.791480336,10678192.727425918,10203329.044805221,1292848.7236084652,430936.5485384062,1561717.7014551992,1238830.6512961285,814803.2629201034,4046288.1642098376,-2753439.440601372,1714328.657193866
20,baseline,reference,11882608.778204698,10794070.987850407,10446706.167879293,1309448.6208829898,373083.5619897914,1128349.9316513604,993198.8882399073,632708.7602002333,3127341.1420812923,-1817892.5211983025,1425435.863714506
20,seller_quality_improvement,quality_upside,10320688.924088039,9627017.67110587,9373088.170286128,1137327.0070961032,375062.1119290011,866125.5702514506,731433.714136836,476103.0434507026,2448724.4397679903,-1311397.432671887,906198.3620029672
20,subsidy_tightening,policy_upside,11344532.6006745,10906493.542409297,10572570.131587094,1250153.299312758,281992.6957426986,1330073.8174940038,963836.7398610583,712646.698234829,3288549.9513325896,-2038396.6520198316,1244794.1010227224
20,fraud_control_improvement,risk_upside,11401000.682477525,11009775.02255807,10760410.867285848,1256376.011279553,417370.1212675343,1116587.9406779986,798875.5261319953,375075.35970230994,2707908.9477798385,-1451532.9365002855,928897.6234494792
20,downside_high_risk_deterioration,downside,11800955.037883837,10868016.89359015,10373488.59448885,1300450.4808576105,447837.06354237127,1591832.735836569,1335953.5120131606,687360.5904784795,4062983.9018705804,-2762533.4210129697,1762492.144332573
21,baseline,reference,11206185.278654626,10373254.663829459,10048857.658126747,1234907.5975141712,379845.2998404124,1281596.5531160645,863044.1549988792,586795.5715036062,3111281.579458962,-1876373.981944791,1273275.0463379647
21,seller_quality_improvement,quality_upside,11149974.909640845,10182850.03435842,9899239.23771255,1228713.2851743232,389466.563079608,986338.33036708,689535.4075015539,451904.0335902508,2517244.334538493,-1288531.0493641696,964695.806664039
21,subsidy_tightening,policy_upside,10687431.15259402,9994981.928678611,9707430.98050653,1177741.5418418366,273244.8124711563,1156075.2749967189,812560.9158499241,519036.77884357044,2760917.78216137,-1583176.2403195333,1151480.718202848
21,fraud_control_improvement,risk_upside,11528673.54704823,10557617.985864015,10317292.223788101,1270445.4012221838,354177.3229785279,1003859.705635716,675571.5177896096,353866.81307770393,2387475.3594815577,-1117029.958259374,846654.6849202655
21,downside_high_risk_deterioration,downside,11510098.562832862,10722197.651762914,10242098.1763299,1268398.4612010373,421740.18623050675,1459740.3196323428,1322858.7745439035,703902.8077708242,3908242.088177577,-2639843.62697654,1859083.07305227
22,baseline,reference,11994228.026618037,10985262.698589744,10652223.2761394,1321748.922409952,464546.5368230876,1275264.4427350604,918563.550626777,645919.8939913358,3304294.424176261,-1982545.501766309,1291185.8263903102
22,seller_quality_improvement,quality_upside,11411305.76666744,10669672.016659234,10362836.010433858,1257511.6186644665,372698.21791112947,1090599.1926614232,900270.1405955253,626003.6060189157,2989571.1571869934,-1732059.5385225269,1108199.0922460621
22,subsidy_tightening,policy_upside,10316611.463137412,9606211.762052579,9277042.02957073,1136877.6760007048,249515.81115145798,1058851.1289362211,812944.4367012195,543140.6812551667,2664452.058044065,-1527574.38204336,1076756.8738940551
22,fraud_control_improvement,risk_upside,11474929.692897318,10539983.927518867,10269722.270411441,1264522.8957343376,404451.60713669896,1116717.4978842014,738683.5018095707,404246.5512377724,2664099.1580682434,-1399576.2623339058,858954.3854461154
22,downside_high_risk_deterioration,downside,12058995.104792014,10868525.062397031,10367701.70610551,1328886.1733938514,455300.3601091075,1648428.3884915242,1376067.6080273027,827212.0388150212,4307008.395442955,-2978122.222049104,1928080.0534350304
23,baseline,reference,11782076.607497117,10834502.387938531,10519669.556439925,1298370.1014480258,420658.36822146777,1050816.5363981877,1021556.9227833151,448606.78219268465,2941638.6095956555,-1643268.5081476297,1369768.3536358553
23,seller_quality_improvement,quality_upside,11670295.044087559,10632953.740353953,10336621.818692422,1286051.9130115549,379387.93544073903,1110433.2132128645,801807.0485183743,659957.0409366586,2951585.2381086363,-1665533.3250970815,1045865.35065299
23,subsidy_tightening,policy_upside,11696138.075064898,10964434.184925806,10632028.960967708,1288899.7826927297,280879.8279236132,1192077.7693712004,964140.6929410378,559690.98638698,2996789.2766228314,-1707889.4939301016,1186351.1560803726
23,fraud_control_improvement,risk_upside,11884547.126368176,10960079.678673157,10719666.57776149,1309662.2244255145,411408.745991888,1153412.428242051,756385.0684760867,403486.53224169364,2724692.7749517197,-1415030.5505262052,822097.6080025199
23,downside_high_risk_deterioration,downside,12490153.71842981,11384015.490992924,10879070.226969257,1376399.3131889943,440105.30506539706,1677926.1674500124,1403036.0082906885,747686.3850146289,4268753.865820726,-2892354.552631732,2048344.5225906682
24,baseline,reference,11757293.155153673,10640747.285562035,10265274.063498588,1295638.9960066546,419674.4139475196,1229470.763529801,944078.6247503167,665514.1567591116,3258737.958986749,-1963098.9629800944,1450782.501935291
24,seller_quality_improvement,quality_upside,11813752.655785915,10936638.620131774,10616741.82555873,1301860.7623391652,405253.8185600724,1103919.489772709,860870.9053221005,581556.2307359051,2951600.4443907873,-1649739.682051622,1046294.124560209
24,subsidy_tightening,policy_upside,10778208.404240618,10021416.423457788,9719803.602986392,1187745.0814007772,281129.3319386707,1096968.5065754133,904458.4012629191,605033.3127000761,2887589.552477079,-1699844.4710763018,1186347.2929824598
24,fraud_control_improvement,risk_upside,11552970.968948979,10451528.786343161,10222583.0927154,1273122.9467168488,434921.31707462115,1073688.1712873057,627915.3627865782,336016.20489913464,2472541.0560476393,-1199418.1093307906,838828.9539545272
24,downside_high_risk_deterioration,downside,11844264.786626657,10807629.605416108,10317280.146499118,1305223.1609837203,463084.0198199501,1583294.3455923882,1318693.937904092,835404.1109832976,4200476.414299727,-2895253.253316007,1626880.2096651546
25,baseline,reference,10664993.464600649,9865200.991161231,9555070.787990566,1175268.936697029,374399.7253494849,1233768.791662777,981194.6804566291,586192.5029802404,3175555.7004491314,-2000286.7637521024,1249655.8855149588
25,seller_quality_improvement,quality_upside,11062181.402083592,10257538.008162297,9988014.321117088,1219038.5504810303,391282.15888220025,956705.1410744827,845777.8793271385,569050.9244115363,2762816.1036953577,-1543777.5532143274,1042375.5561948301
